Unicode,Character,Name,Braille
384,΄,tonos,
385,΅,dialytika and oxia,
387,·,greek semi-colon,
0390+03C9+0345,ΐῳ,iota omega with dialytika and oxia,⠺⠔
0390+03C9,ΐω,iota omega with dialytika and oxia,⠺
390,ΐ,iota with dialytika and oxia isolated,
03AC+0345,ᾴ,alpha with oxia,⠜⠔
03AC,ά,alpha with oxia,⠜
03AD+0345,έ,epsilon with oxia,⠫⠔
03AD,έ,epsilon with oxia,⠫
03AE+0345,ῄ,eta with oxia,⠿⠔
03AE,ή,eta with oxia,⠿
03AF+03C9+0345,ίῳ,iota omega with oxia,⠺⠔
03AF+0345,ίͅ,iota with oxia,⠔
03AF,ί,iota with oxia,⠔
03B0+03C9+0345,ΰῳ,upsilon omega with dialytika and oxia,⠳⠺⠔
03B0+03C9,ΰω,upsilon omega with dialytika and oxia,⠳⠺
03B0,ΰ,upsilon with dialytika and oxia isolated,⠳
03B1+0300+0345,ᾲ,alpha with varia,⠷⠔
03B1+0300,ὰ,alpha with varia,⠷
03B1+0301+0345,ᾴ,alpha with oxia,⠜⠔
03B1+0301,ά,alpha with oxia,⠜
03B1+0313+0300+0345,ᾂ,alpha with psili and varia,⠴⠷⠔
03B1+0313+0300,ἂ,alpha with psili and varia,⠴⠷
03B1+0313+0301+0345,ᾄ,alpha with psili and oxia,⠴⠜⠔
03B1+0313+0301,ἄ,alpha with psili and oxia,⠴⠜
03B1+0313+0342+0345,ᾆ,alpha with psili and perispomeni,⠴⠡⠔
03B1+0313+0342,ἆ,alpha with psili and perispomeni,⠴⠡
03B1+0313+0345,ᾀ,alpha with psili,⠴⠁⠔
03B1+0313,ἀ,alpha with psili,⠴⠁
03B1+0314+0300+0345,ᾃ,alpha with dasia and varia,⠓⠷⠔
03B1+0314+0300,ἃ,alpha with dasia and varia,⠓⠷
03B1+0314+0301+0345,ᾅ,alpha with dasia and oxia,⠓⠜⠔
03B1+0314+0301,ἅ,alpha with dasia and oxia,⠓⠜
03B1+0314+0342+0345,ᾇ,alpha with dasia and perispomeni,⠓⠡⠔
03B1+0314+0342,ἇ,alpha with dasia and perispomeni,⠓⠡
03B1+0314+0345,ᾁ,alpha with dasia,⠓⠁⠔
03B1+0314,ἁ,alpha with dasia,⠓⠁
03B1+0342+0345,ᾷ,alpha with perispomeni,⠡⠔
03B1+0342,ᾶ,alpha with perispomeni,⠡
03B1+0345,ᾳ,alpha,⠁⠔
03B1+0390+0345,αΐͅ,alpha and iota with oxia and dialytika,⠁⠔
03B1+0390,αΐ,alpha and iota with oxia and dialytika,⠁
03B1+03AF+0345,αίͅ,alpha iota with oxia,⠁⠔
03B1+03AF+03C9+0345,αίῳ,alpha iota Greek Omega with oxia,⠁⠺⠔
03B1+03AF,αί,alpha iota with oxia,⠁
03B1+03B0+0345,αΰͅ,alpha upsilon with dialytika and oxia,⠁⠳⠔
03B1+03B0,αΰ,alpha upsilon with dialytika and oxia,⠁⠳
03B1+03B9+0300+0345,αὶͅ,alpha iota with varia,⠁⠌⠔
03B1+03B9+0300,αὶ,alpha iota with varia,⠁⠌
03B1+03B9+0301+0345,αίͅ,alpha iota with oxia,⠁⠿⠔
03B1+03B9+0301,αί,alpha iota with oxia,⠁⠿
03B1+03B9+0313+0300+0345,αἲͅ,alpha iota with psili and varia,⠴⠁⠌⠔
03B1+03B9+0313+0300,αἲ,alpha iota with psili and varia,⠴⠁⠌
03B1+03B9+0313+0301+0345,αἴͅ,alpha iota with psili and oxia,⠴⠁⠿⠔
03B1+03B9+0313+0301,αἴ,alpha iota with psili and oxia,⠴⠁⠿
03B1+03B9+0313+0342+0345,αἶͅ,alpha iota with psili and perispomeni,⠴⠁⠩⠔
03B1+03B9+0313+0342,αἶ,alpha iota with psili and perispomeni,⠴⠁⠩
1F3E,ἶ,Capital Iota with Psili and Perispomeni,⠠⠴⠩
03B1+03B9+0313+0345,αἰͅ,alpha iota with psili,⠴⠁⠊⠔
03B1+03B9+0313,αἰ,alpha iota with psili,⠴⠁⠊
03B1+03B9+0314+0300+0345,αἳͅ,alpha iota with dasia and varia,⠓⠁⠌⠔
03B1+03B9+0314+0300,αἳ,alpha iota with dasia and varia,⠓⠁⠌
03B1+03B9+0314+0301+0345,αἵͅ,alpha iota with dasia and oxia,⠓⠁⠿⠔
03B1+03B9+0314+0301,αἵ,alpha iota with dasia and oxia,⠓⠁⠿
03B1+03B9+0314+0342+0345,αἷͅ,alpha iota with dasia and perispomeni,⠓⠁⠩⠔
03B1+03B9+0314+0342,αἷ,alpha iota with dasia and perispomeni,⠓⠁⠩
03B1+03B9+0314+0345,αἱͅ,alpha iota with dasia,⠓⠁⠊⠔
03B1+03B9+0314,αἱ,alpha iota with dasia,⠓⠁⠊
03B1+03B9+0342+0345,αῖͅ,alpha iota with perispomeni,⠁⠩⠔
03B1+03B9+0342,αῖ,alpha iota with perispomeni,⠁⠩
03B1+03B9+0345,αιͅ,alpha iota,⠁⠊⠔
03B1+03B9,αι,alpha iota,⠁⠊
03B1+03C5+0300+0345,αὺͅ,alpha upsilon with varia,⠁⠾⠔
03B1+03C5+0300,αὺ,alpha upsilon with varia,⠁⠾
03B1+03C5+0301+0345,αύͅ,alpha upsilon with oxia,⠁⠳⠔
03B1+03C5+0301,αύ,alpha upsilon with oxia,⠁⠳
03B1+03C5+0313+0300+0345,αὒͅ,alpha upsilon with psili and varia,⠴⠁⠾⠔
03B1+03C5+0313+0300,αὒ,alpha upsilon with psili and varia,⠴⠁⠾
03B1+03C5+0313+0301+0345,αὔͅ,alpha upsilon with psili and oxia,⠴⠁⠳⠔
03B1+03C5+0313+0301,αὔ,alpha upsilon with psili and oxia,⠴⠁⠳
03B1+03C5+0313+0342+0345,αὖͅ,alpha upsilon with psili and perispomeni,⠴⠁⠧⠔
03B1+03C5+0313+0342,αὖ,alpha upsilon with psili and perispomeni,⠴⠁⠧
03B1+03C5+0313+0345,αὐͅ,alpha upsilon with psili,⠴⠁⠥⠔
03B1+03C5+0313,αὐ,alpha upsilon with psili,⠴⠁⠥
03B1+03C5+0314+0300+0345,αὓͅ,alpha upsilon with dasia and varia,⠓⠁⠾⠔
03B1+03C5+0314+0300,αὓ,alpha upsilon with dasia and varia,⠓⠁⠾
03B1+03C5+0314+0301+0345,αὕͅ,alpha upsilon with dasia and oxia,⠓⠁⠳⠔
03B1+03C5+0314+0301,αὕ,alpha upsilon with dasia and oxia,⠓⠁⠳
03B1+03C5+0314+0342+0345,αὗͅ,alpha upsilon with dasia and perispomeni,⠓⠁⠧⠔
03B1+03C5+0314+0342,αὗ,alpha upsilon with dasia and perispomeni,⠓⠁⠧
03B1+03C5+0314+0345,αὑͅ,alpha upsilon with dasia,⠓⠁⠥⠔
03B1+03C5+0314,αὑ,alpha upsilon with dasia,⠓⠁⠥
03B1+03C5+0342+0345,αῦͅ,alpha upsilon with perispomeni,⠁⠧⠔
03B1+03C5+0342,αῦ,alpha upsilon with perispomeni,⠁⠧
03B1+03C5+0345,αυͅ,alpha upsilon,⠁⠥⠔
03B1+03C5,αυ,alpha upsilon,⠁⠥
03B1+03CA+0300+0345,αῒͅ,alpha and iota with varia and dialytika,⠁⠌⠔
03B1+03CA+0300,αῒ,alpha and iota with varia and dialytika,⠁⠌
03B1+03CA+0301+0345,αΐͅ,alpha and iota with oxia and dialytika,⠁⠔
03B1+03CA+0301,αΐ,alpha and iota with oxia and dialytika,⠁
03B1+03CA+0342+0345,αῗͅ,alpha and iota with perispomeni and dialytika,⠁⠩⠔
03B1+03CA+0342,αῗ,alpha and iota with perispomeni and dialytika,⠁⠩
03B1+03CA+0345,αϊͅ,alpha and iota with dialytikaa,⠁⠊⠔
03B1+03CA,αϊ,alpha and iota with dialytikaa,⠁⠊
03B1+03CB+0300+0345,αῢͅ,alpha and upsilon with varia and dialytika,⠁⠾⠔
03B1+03CB+0300,αῢ,alpha and upsilon with varia and dialytika,⠁⠾
03B1+03CB+0301+0345,αΰͅ,alpha and upsilon with oxia and dialytika,⠁⠳⠔
03B1+03CB+0301,αΰ,alpha and upsilon with oxia and dialytika,⠁⠳
03B1+03CB+0342+0345,αῧͅ,alpha and upsilon with perispomeni and dialytika,⠁⠧⠔
03B1+03CB+0342,αῧ,alpha and upsilon with perispomeni and dialytika,⠁⠧
03B1+03CB+0345,αϋͅ,alpha and upsilon with dialytikaa,⠁⠥⠔
03B1+03CB,αϋ,alpha and upsilon with dialytikaa,⠁⠥
03B1+03CD+0345,αύͅ,alpha upsilon with oxia,⠁⠳⠔
03B1+03CD,αύ,alpha upsilon with oxia,⠁⠳
03B1,α,alpha,⠁
03B2,β,beta,⠃
03B3,γ,gamma,⠛
03B4,δ,delta,⠙
03B5+0300+0345,ὲͅ,epsilon with varia,⠉⠔
03B5+0300,ὲ,epsilon with varia,⠉
1F72,ὲ,epsilon with varia,⠉
03B5+0301+0345,έͅ,epsilon with oxia,⠫⠔
03B5+0301,έ,epsilon with oxia,⠫
03B5+0313+0300+0345,ἒͅ,epsilon with psili and varia,⠴⠉⠔
03B5+0313+0300,ἒ,epsilon with psili and varia,⠴⠉
03B5+0313+0301+0345,ἔͅ,epsilon with psili and oxia,⠴⠫⠔
03B5+0313+0301,ἔ,epsilon with psili and oxia,⠴⠫
03B5+0313+0345,ἐͅ,epsilon with psili,⠴
03B5+0313,ἐ,epsilon with psili,⠴⠑
03B5+0314+0300+0345,ἓͅ,epsilon with dasia and varia,⠓⠉⠔
03B5+0314+0300,ἓ,epsilon with dasia and varia,⠓⠉
03B5+0314+0301+0345,ἕͅ,epsilon with dasia and oxia,⠓⠫⠔
03B5+0314+0301,ἕ,epsilon with dasia and oxia,⠓⠫
03B5+0314+0345,ἑͅ,epsilon with dasia,⠓⠑⠔
03B5+0314,ἑ,epsilon with dasia,⠓⠑
03B5+0345,εͅ,epsilon,⠑⠔
03B5+0390+0345,εΐͅ,epsilon and iota with oxia and dialytika,⠑⠔
03B5+0390,εΐ,epsilon and iota with oxia and dialytika,⠑
03B5+03AF+0345,είͅ,epsilon iota with oxia,⠑⠔
03B5+03AF,εί,epsilon iota with oxia,⠑
03B5+03B0+0345,εΰͅ,epsilon upsilon with dialytika and oxia,⠑⠳⠔
03B5+03B0,εΰ,epsilon upsilon with dialytika and oxia,⠑⠳
03B5+03b9+0300+0345,εὲͅ,epsilon iota,⠑⠌⠔
03B5+03b9+0300,εὲ,epsilon iota,⠑⠌
03B5+03b9+0301+0345,εέͅ,epsilon iota,⠑⠔
03B5+03b9+0301,εέ,epsilon iota,⠑
03B5+03b9+0313+0300+0345,εἒͅ,epsilon iota,⠴⠑⠌⠔
03B5+03b9+0313+0300,εἒ,epsilon iota,⠴⠑⠌
