Character,Hex,AmericanTranslitteration,Logic,Type,Name,Braille
𒀀,12000,A,839,letter,DU23,DU23
𒀁,12001,AxA,845,letter,EDURU,EDURU
𒀂,12002,AxBAD,840,letter,AGAM,AGAM
𒀃,12003,AxGAN2tenû,238,letter,AxGAN2tenû,AxGAN2tenû
𒀄,12004,AxḪA,238,letter,ZAḪ3,ZAḪ3
𒀅,12005,AxIGI,238,letter,ÍR,ÍR
𒀆,12006,AxLAGARgunû,843,letter,AxLAGARgunû,AxLAGARgunû
𒀇,12007,AxMUŠ,842,letter,AxMUŠ,AxMUŠ
𒀈,12008,AxSAG,238,letter,AxSAG,AxSAG
𒀉,12009,A2,ED,letter,ED,ED
𒀊,1200A,AB,238,letter,ABBA,ABBA
𒀋,1200B,ABxAŠ2,238,letter,ABxAŠ2,ABxAŠ2
𒀌,1200C,ABxDUN3gunû,238,letter,ABxDUN3gunû,ABxDUN3gunû
𒀍,1200D,ABxGAL,238,letter,IRIGAL,IRIGAL
𒀎,1200E,ABxGAN2tenû,238,letter,ABxGAN2tenû,ABxGAN2tenû
𒀏,1200F,ABxḪA,238,letter,NINA,NINA
𒀐,12010,ABxIGIgunû,238,letter,ABxIGIgunû,ABxIGIgunû
𒀑,12011,ABxIMIN,238,letter,ABxIMIN,ABxIMIN
𒀒,12012,ABxLAGAB,238,letter,ABxLAGAB,ABxLAGAB
𒀓,12013,ABxŠEŠ,238,letter,ABxŠEŠ,ABxŠEŠ
𒀔,12014,ABxU+U+U,238,letter,UNUG,UNUG
𒀕,12015,ABgunû,238,letter,ABgunû,ABgunû
𒀖,12016,AB2,672,letter,LID,LID
𒀗,12017,AB2xBALAG,238,letter,LILIZ,LILIZ
𒀘,12018,AB2xGAN2tenû,238,letter,KIR6,KIR6
𒀙,12019,AB2xME+EN,238,letter,AB2xME+EN,AB2xME+EN
𒀚,1201A,AB2xŠA3,238,letter,LIBIŠ,LIBIŠ
𒀛,1201B,AB2xTAK4,238,letter,AB2xTAK4,AB2xTAK4
𒀜,1201C,AD,238,letter,ADDA,ADDA
𒀝,1201D,AK,238,letter,AG,AG
𒀞,1201E,AKxERIN2,238,letter,ME3,ME3
𒀟,1201F,AKxŠITA+GIŠ,238,letter,AKxŠITA+GIŠ,AKxŠITA+GIŠ
𒀠,12020,AL,238,letter,AL,AL
𒀡,12021,ALxAL,238,letter,ALxAL,ALxAL
𒀢,12022,ALxDIM2,238,letter,ALxDIM2,ALxDIM2
𒀣,12023,ALxGIŠ,238,letter,ALxGIŠ,ALxGIŠ
𒀤,12024,ALxḪA,238,letter,ALxḪA,ALxḪA
𒀥,12025,ALxKAD3,238,letter,ALxKAD3,ALxKAD3
𒀦,12026,ALxKI,238,letter,ALxKI,ALxKI
𒀧,12027,ALxŠE,238,letter,IL,IL
𒀨,12028,ALxUŠ,238,letter,ALxUŠ,ALxUŠ
𒀩,12029,ALAN,238,letter,ALAN,ALAN
𒀫,1202B,AMAR,238,letter,ZUR,ZUR
𒀬,1202C,AMARxŠE,238,letter,SISKUR,SISKUR
𒀭,1202D,AN,238,letter,AN,AN
𒀮,1202E,AN/AN,238,letter,AN/AN,AN/AN
𒀯,1202F,ANthreetimes,238,letter,MUL,MUL
𒀰,12030,AN+NAGAopposingAN+NAGA,238,letter,AN+NAGAopposingAN+NAGA,AN+NAGAopposingAN+NAGA
𒀱,12031,AN+NAGAsquared,238,letter,DNAGA,DNAGA
𒀲,12032,ANŠE,238,letter,donkey,donkey
𒀳,12033,APIN,238,letter,ÀBSIN,ÀBSIN
𒀴,12034,ARAD,238,letter,ARAD,ARAD
𒀵,12035,ARADxKUR,238,letter,ARADxKUR,ARADxKUR
𒀶,12036,ARKAB,238,letter,NIG2 ,NIG2
𒀷,12037,ASAL2,238,letter,ASAL2,ASAL2
𒀸,12038,AŠ,238,letter,DILI,DILI
𒀹,12039,AŠZIDAtenû,575,letter,DIŠtenû,DIŠtenu
𒀺,1203A,AŠKABAtenû,238,letter,AŠKABAtenu,AŠKABAtenu
𒀻,1203B,AŠ/AŠTUG2/TUG2,238,letter,AŠTUG2/TUG2,AŠTUG2/TUG2
𒀼,1203C,AŠ/AŠ/AŠ,238,letter,EŠ16,EŠ16
