Character(decimal),Name,Braille
𒀀,A,⠁
𒀁,A TIMES A,⠁⠡⠁
𒀂,A TIMES BAD,⠁⠡⠃⠁⠙
𒀃,A TIMES GAN2 TENU,⠁⠡⠛⠁⠝ ⠞⠑⠝⠥
𒀄,A TIMES HA,⠁⠡⠓⠁
𒀅,A TIMES IGI,⠁⠡⠊⠛⠊
𒀆,A TIMES LAGAR GUNU,⠁⠡⠇⠁⠛⠜ ⠛⠥⠝⠥
𒀇,A TIMES MUSH,⠁⠡⠍⠥⠩
𒀈,A TIMES SAG,⠁⠡⠎⠁⠛
𒀉,A2,⠁
𒀊,AB,⠁⠃
𒀋,AB TIMES ASH2,⠁⠃⠡⠁⠩
𒀌,AB TIMES DUN3 GUNU,⠁⠃⠡⠙⠥⠝⠒ ⠛⠥⠝⠥
𒀍,AB TIMES GAL,⠁⠃⠡⠛⠁⠇
𒀎,AB TIMES GAN2 TENU,⠁⠃⠡⠛⠁⠝ ⠞⠑⠝⠥
𒀏,AB TIMES HA,⠁⠃⠡⠓⠁
𒀐,AB TIMES IGI GUNU,⠁⠃⠡⠊⠛⠊ ⠛⠥⠝⠥
𒀑,AB TIMES IMIN,⠁⠃⠡⠊⠍⠊⠝
𒀒,AB TIMES LAGAB,⠁⠃⠡⠇⠁⠛⠁⠃
𒀓,AB TIMES SHESH,⠁⠃⠡⠩⠑⠩
𒀔,AB TIMES U PLUS U PLUS U,⠁⠃⠡⠥⠬⠥⠬⠥
𒀕,AB GUNU,⠁⠃ ⠛⠥⠝⠥
𒀖,AB2,⠁⠃
𒀗,AB2 TIMES BALAG,⠁⠃⠡⠃⠁⠇⠁⠛
𒀘,AB2 TIMES GAN2 TENU,⠁⠃⠡⠛⠁⠝ ⠞⠑⠝⠥
𒀙,AB2 TIMES ME PLUS EN,⠁⠃⠡⠍⠑⠬⠑⠝
𒀚,AB2 TIMES SHA3,⠁⠃⠡⠩⠁⠒
𒀛,AB2 TIMES TAK4,⠁⠃⠡⠞⠁⠅⠲
𒀜,AD,⠁⠙
𒀝,AK,⠁⠅
𒀞,AK TIMES ERIN2,⠁⠅⠡⠑⠗⠊⠝
𒀟,AK TIMES SHITA PLUS GISH,⠁⠅⠡⠩⠊⠞⠁⠬⠛⠊⠩
𒀠,AL,⠁⠇
𒀡,AL TIMES AL,⠁⠇⠡⠁⠇
𒀢,AL TIMES DIM2,⠁⠇⠡⠙⠊⠍
𒀣,AL TIMES GISH,⠁⠇⠡⠛⠊⠩
𒀤,AL TIMES HA,⠁⠇⠡⠓⠁
𒀥,AL TIMES KAD3,⠁⠇⠡⠅⠁⠙⠒
𒀦,AL TIMES KI,⠁⠇⠡⠅⠊
𒀧,AL TIMES SHE,⠁⠇⠡⠩⠑
𒀨,AL TIMES USH,⠁⠇⠡⠥⠩
𒀩,ALAN,⠁⠇⠁⠝
𒀪,ALEPH,⠁⠇⠑⠏⠓
𒀫,AMAR,⠁⠍⠜
𒀬,AMAR TIMES SHE,⠁⠍⠜⠡⠩⠑
𒀭,AN,⠁⠝
𒀮,AN OVER AN,⠁⠝⠌⠁⠝
𒀯,AN THREE TIMES,⠁⠝⠘⠸⠒
𒀰,AN PLUS NAGA OPPOSING AN PLUS NAGA,⠁⠝⠬⠝⠁⠛⠁⠫⠁⠝⠬⠝⠁⠛⠁
𒀱,AN PLUS NAGA SQUARED,⠁⠝⠬⠝⠁⠛⠁⠘⠸
𒀲,ANSHE,⠁⠝⠩⠑
𒀳,APIN,⠁⠏⠊⠝
𒀴,ARAD,⠜⠁⠙
𒀵,ARAD TIMES KUR,⠜⠁⠙⠡⠅⠥⠗
𒀶,ARKAB,⠜⠅⠁⠃
𒀷,ASAL2,⠁⠎⠁⠇
𒀸,ASH,⠁⠩
𒀹,ASH ZIDA TENU,⠁⠩ ⠵⠊⠙⠁ ⠞⠑⠝⠥
𒀺,ASH KABA TENU,⠁⠩ ⠅⠁⠃⠁ ⠞⠑⠝⠥
𒀻,ASH OVER ASH TUG2 OVER TUG2 TUG2 OVER TUG2 PAP,⠁⠩⠌⠁⠩ ⠞⠥⠛⠌⠞⠥⠛ ⠞⠥⠛⠌⠞⠥⠛ ⠏⠁⠏
𒀼,ASH OVER ASH OVER ASH,⠁⠩⠌⠁⠩⠌⠁⠩
𒀽,ASH OVER ASH OVER ASH CROSSING ASH OVER ASH OVER ASH,⠁⠩⠌⠁⠩⠌⠁⠩⠯⠁⠩⠌⠁⠩⠌⠁⠩
𒀾,ASH2,⠁⠩
